STATION,STATION_NAME,DATE,HPCP
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730201 11:00,0.02
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730201 12:00,0.05
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730201 13:00,0.05
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730201 14:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730201 17:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730201 18:00,0.05
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730201 19:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730201 21:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730207 05:00,0.02
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730207 06:00,0.02
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730207 07:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730207 08:00,0.02
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730207 09:00,0.02
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730207 10:00,0.02
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730207 11:00,0.03
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730207 12:00,0.02
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730212 22:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730212 23:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730213 05:00,0.02
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730213 06:00,0.03
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730213 07:00,0.02
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730213 08:00,0.02
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730213 10:00,0.02
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730213 11:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730213 12:00,0.02
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730213 14:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730213 15:00,0.02
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730213 16:00,0.04
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730213 18:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730213 19:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730213 23:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730214 02:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730214 03:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730214 07:00,0.02
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730214 09:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730214 11:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730214 12:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730214 14:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730214 15:00,0.02
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730214 16:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730214 17:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730214 18:00,0.02
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730214 21:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730301 01:00,0.00
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730301 07:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730301 11:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730302 11:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730304 15:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730304 19:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730304 20:00,0.04
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730304 21:00,0.02
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730305 00:00,0.02
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730305 04:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730305 23:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730306 12:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730306 13:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730306 14:00,0.04
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730306 15:00,0.02
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730306 16:00,0.02
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730306 17:00,0.05
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730306 18:00,0.03
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730306 19:00,0.02
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730306 20:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730306 21:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730309 07:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730309 08:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730309 09:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730309 10:00,0.03
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730309 11:00,0.02
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730310 12:00,0.14
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730310 13:00,0.02
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730310 14:00,0.08
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730310 15:00,0.04
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730310 16:00,0.05
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730310 17:00,0.10
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730310 18:00,0.04
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730310 19:00,0.06
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730310 20:00,0.10
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730310 21:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730311 07:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730311 08:00,0.02
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730313 15:00,0.16
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730313 16:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730313 17:00,0.02
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730313 18:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730313 20:00,0.07
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730313 21:00,0.13
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730313 22:00,0.26
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730314 19:00,0.02
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730322 18:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730322 19:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730322 20:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730323 17:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730323 18:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730324 06:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730324 07:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730324 08:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730324 10:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730324 16:00,0.04
